Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43520622,Not So Pure and Simple,Lamar Giles,"Giles, Lamar",,006234921X,9780062349217,0,4.07,Quill Tree Books,ebook,416,2020,2020,,01/09/2021,to-read,to-read (#233),to-read,,,,0,0
39988431,"The Kingdom of Copper (The Daevabad Trilogy, #2)",S.A. Chakraborty,"Chakraborty, S.A.",,0008239444,9780008239442,4,4.4,Voyager GB,Hardcover,625,2019,2019,,29/08/2021,,,read,,,,1,0
26174865,I Call Myself A Feminist: The View from Twenty-Five Women Under Thirty,Victoria Pepe,"Pepe, Victoria","Rachel Holmes, Amy Annette, Martha Mosse, Alice Stride",0349006555,9780349006550,0,3.92,Virago,Paperback,269,2017,2015,,26/08/2021,to-read,to-read (#232),to-read,,,,0,0
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,0062678108,9780062678102,4,4.15,Harper Voyager,Hardcover,544,2017,2017,,28/01/2019,,,read,,,,1,0
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"Stiefvater, Maggie",,0545123267,9780545123266,0,3.76,Scholastic Press,Hardcover,392,2009,2009,,22/08/2021,to-read,to-read (#231),to-read,,,,0,0
33386064,The Hoodie Girl,Yuen Wright,"Wright, Yuen",,,,3,3.87,,ebook,,,2021,17/08/2021,17/08/2021,,,read,,,,1,0
35960814,The Accidental Bad Girl,Maxine Kaplan,"Kaplan, Maxine",Julia Knippen,141972858X,9781419728587,4,3.63,Harry N. Abrams,Hardcover,377,2018,2018,,04/08/2021,,,read,,,,1,0
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,,,4,4.02,HarperTeen,Hardcover,388,2015,2015,01/08/2021,10/06/2018,,,read,,,,1,0
50266871,Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,"Jaigirdar, Adiba",,,,4,4.14,Page Street Kids,Kindle Edition,352,2021,2021,,27/07/2021,,,read,,,,1,0
45892228,"Crave (Crave, #1)",Tracy Wolff,"Wolff, Tracy",,1640638954,9781640638952,4,3.82,Entangled: Teen,Hardcover,592,2020,2020,,20/07/2021,,,read,,,,1,0
57366810,The Savage and the Swan,Ella Fields,"Fields, Ella",,,9798523338199,0,3.78,Independently Published,Paperback,348,2021,2021,,21/07/2021,to-read,to-read (#230),to-read,,,,0,0
57942916,"The Visibility Trap: Sexism, Surveillance & Social Media",Mary McGill,"McGill, Mary",,,9781848408012,0,3.97,New Island,Paperback,256,2021,2021,,08/07/2021,to-read,to-read (#229),to-read,,,,0,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,,,4,4.13,St. Martin's Griffin,Paperback,448,2019,2019,,07/07/2021,,,read,,,,1,0
25181955,"Spellslinger (Spellslinger, #1)",Sebastien de Castell,"Castell, Sebastien de",,1785761315,9781785761317,0,4.02,Hot Key Books,Hardcover,416,2017,2017,,30/06/2021,"to-read, read-blurb","to-read (#228), read-blurb (#5)",to-read,,,,0,0
43900612,Cinderella Is Dead,Kalynn  Bayron,"Bayron, Kalynn",,1547603887,9781547603886,0,3.71,Bloomsbury YA,ebook,400,2020,2020,,26/06/2021,to-read,to-read (#227),to-read,,,,0,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,1419729071,9781419729072,0,4.36,Abrams Press,Hardcover,318,2019,2019,,26/06/2021,to-read,to-read (#226),to-read,,,,0,0
24934065,"Rebel of the Sands (Rebel of the Sands, #1)",Alwyn Hamilton,"Hamilton, Alwyn",,0698410424,9780698410428,4,3.96,Viking Books for Young Readers,ebook,314,2016,2016,,25/06/2021,,,read,,,,1,0
35796008,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,"Pearson, Mary E.",,1250159016,9781250159014,4,4.2,Henry Holt and Co. (BYR),Hardcover,512,2018,2018,,19/08/2018,,,read,,,,1,0
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,"Aveyard, Victoria",,,,0,3.64,Orion Publishing,Kindle Edition,576,2021,2021,,31/05/2021,to-read,to-read (#225),to-read,,,,0,0
55152533,The Yearbook,Holly Bourne,"Bourne, Holly",,,9781474966825,0,4.22,Usborne Publishing,Paperback,448,2021,2021,,31/05/2021,to-read,to-read (#224),to-read,,,,0,0
49047293,Enemies,Tijan,"Tijan, Tijan",,,,4,4.02,,Kindle Edition,370,2019,2019,,30/05/2021,,,read,,,,1,0
53462579,"Wicked Deal (Shadow Guild: The Rebel, #2)",Linsey Hall,"Hall, Linsey",,,,4,4.22,Bonnie Doon Press ,Kindle Edition,264,2020,2020,,27/05/2021,,,read,,,,1,0
53285355,Once Bitten (Shadow Guild: The Rebel #1),Linsey Hall,"Hall, Linsey",,,,4,4,,Kindle Edition,302,2020,2020,,26/05/2021,,,read,,,,2,0
17231976,"Damaged (Damaged, #1)",H.M. Ward,"Ward, H.M.",,061579615X,9780615796154,3,3.92,Laree Bailey Press,Paperback,341,2013,2013,,26/05/2021,,,read,,,,1,0
