Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
10334529,"Blue Exorcist, Vol. 3",Kazue Kato,"Kato, Kazue",,1421540347,9781421540344,4,4.41,VIZ Media LLC,Paperback,200,2011,2010,18/03/2019,18/03/2019,,,read,,,,1,0,",2019-03-18",Manga|1060;MangÃ¡|263;Fantasy|119;Blue Exorcist|71;Mangas|45;Supernatural|41;Young Adult|37;Read Manga|33;Graphic Novels|32;Manga Manhwa|25;Graphic Novel|24;Demons|24;Paranormal|23;Comics|22;Shounen|22;Manga I Own|21;MangÃ¡s|20;Fiction|19;Manga Read|19;Shonen|19,8859
8539798,"Blue Exorcist, Tome 2 (Blue Exorcist, #2)",Kazue Kato,"Kato, Kazue",,,9782849659267,4,4.46,KazÃ©,Mass Market Paperback,192,2010,2009,18/03/2019,18/03/2019,,,read,,,,1,0,",2019-03-18",Manga|1057;MangÃ¡|462;Fantasy|135;Blue Exorcist|73;Young Adult|45;Supernatural|42;Mangas|41;Read Manga|39;Graphic Novels|37;MangÃ¡s|34;Paranormal|29;Manga I Own|28;Demons|28;Graphic Novel|27;Shounen|22;Comics|22;Action|21;Fiction|20;Manga Read|20;Shonen|20,14103
9876989,"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",Kazue Kato,"Kato, Kazue",John Werry,,9781421540320,4,4.37,VIZ Media LLC,Paperback,200,2011,2009,18/03/2019,18/03/2019,,,read,,,,1,0,",2019-03-18",Manga|2516;MangÃ¡|755;Fantasy|257;Graphic Novels|126;Mangas|101;Blue Exorcist|92;Young Adult|88;Comics|75;Read Manga|67;Paranormal|67;Supernatural|65;Graphic Novel|61;Manga Read|53;Demons|52;Manga Graphic Novels|52;Fiction|49;Action|47;Anime|46;Shounen|46;MangÃ¡s|44,70118
10334572,"Blue Exorcist, Tome 4 (Blue Exorcist, #4)",Kazue Kato,"Kato, Kazue",,282030026X,9782820300263,4,4.44,KazÃ©,Mass Market Paperback,186,2011,2010,18/03/2019,18/03/2019,,,read,,,,1,0,",2019-03-18",Manga|846;MangÃ¡|344;Fantasy|106;Blue Exorcist|69;Supernatural|37;Mangas|34;Young Adult|33;Read Manga|32;MangÃ¡s|28;Graphic Novels|28;Demons|23;Manga Manhwa|22;Shounen|21;Paranormal|19;Fiction|18;Graphic Novel|17;Shonen|17;Manga I Own|16;Series|16;Comics|14,7953
12309315,"Blue Exorcist, Vol. 6",Kazue Kato,"Kato, Kazue",,1421541742,9781421541747,4,4.39,VIZ Media LLC,Paperback,200,2012,2011,18/03/2019,18/03/2019,,,read,,,,1,0,",2019-03-18",Manga|875;MangÃ¡|137;Fantasy|87;Blue Exorcist|61;Mangas|37;Read Manga|30;Young Adult|29;Supernatural|26;Shounen|22;Graphic Novels|21;Demons|20;Comics|20;Paranormal|18;Manga Manhwa|17;Shonen|17;Action|15;Fiction|14;Graphic Novel|14;Series|14;MangÃ¡s|13,5582
12712367,"Blue Exorcist, Vol. 7",Kazue Kato,"Kato, Kazue",,1421542625,9781421542621,4,4.41,VIZ Media LLC,Paperback,192,2012,2011,18/03/2019,18/03/2019,,,read,,,,1,0,",2019-03-18",Manga|672;MangÃ¡|267;Fantasy|87;Blue Exorcist|62;Mangas|47;Supernatural|29;Young Adult|28;Read Manga|28;Shounen|20;Paranormal|19;Demons|18;Graphic Novels|17;Manga Manhwa|16;Action|14;Graphic Novel|14;Manga Graphic Novels|14;Fiction|13;Shonen|13;Series|12;Manga Read|12,5145
16134551,"Fallen Crest High (Fallen Crest High, #1)",Tijan,"Tijan, Tijan",,,,4,4.08,,Kindle Edition,375,2012,2012,,18/09/2018,,,read,,,,1,0,"2019-03-12,2019-03-13",Romance|855;New Adult|574;Young Adult|399;High School|353;Contemporary|302;Series|297;Ya|217;Contemporary Romance|169;Tijan|130;Sports|118;Enemies To Lovers|102;Alpha Male|92;Bad Boy|78;5 Stars|63;Bad Boys|63;High School Romance|61;Ebooks|60;Forbidden Love|60;Sports Romance|55;Highschool|53,55823
35380157,Opposite of Always,Justin A. Reynolds,"Reynolds, Justin A.",,,,0,3.66,Katherine Tegen Books,Kindle Edition,451,2019,2019,,12/03/2019,to-read,to-read (#149),to-read,,,,0,0,,Romance|983;Young Adult|863;Contemporary|638;Ya|579;Fiction|258;Time Travel|200;2019 Releases|165;Physical Tbr|159;Audiobooks|141;Science Fiction|141;Sci Fi|125;Wishlist|105;Fantasy|102;Read In 2019|91;Ya Contemporary|89;Read In 2020|79;Magical Realism|74;2019 Reads|68;Black Authors|62;Ya Romance|59,23485
23253083,"Flamecaster (Shattered Realms, #1)",Cinda Williams Chima,"Chima, Cinda Williams",,006238094X,9780062380944,0,4.03,HarperCollins,Hardcover,535,2016,2016,,12/03/2019,to-read,to-read (#148),to-read,,,,0,0,,Fantasy|820;Ya|282;Young Adult|247;Ya Fantasy|124;Dragons|120;Fiction|95;Physical Tbr|85;Series|83;Owned Books|67;Romance|64;Magic|61;High Fantasy|59;Adventure|49;Owned Tbr|47;Audiobooks|44;My Books|43;2016 Release|42;My Library|37;Tbr Fantasy|31;Read In 2016|31,15093
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,,,0,4.14,Orbit,Kindle Edition,400,2008,1993,,09/03/2019,to-read,to-read (#147),to-read,,,,0,0,,Fantasy|16103;Fiction|2569;Short Stories|1176;The Witcher|792;Series|652;Audiobooks|616;High Fantasy|574;Adult|528;Witcher|501;Magic|488;Adventure|457;Physical Tbr|430;Read In 2020|402;Epic Fantasy|338;Polish|335;Owned Books|327;Fantasia|274;Audible|270;Audio|252;Read 2020|245,308272
